Gene	Meta program	Annotation
DGKI	5	Neuroendocrine
NCAM1	5	Neuroendocrine
RGL1	5	Neuroendocrine
RIMS2	5	Neuroendocrine
ADGRL3	5	Neuroendocrine
KIF1A	5	Neuroendocrine
ARNT2	5	Neuroendocrine
ALOX5	5	Neuroendocrine
CEACAM19	5	Neuroendocrine
DNAH14	5	Neuroendocrine
RGS13	5	Neuroendocrine
PTPN18	5	Neuroendocrine
PHACTR1	5	Neuroendocrine
SLC44A1	5	Neuroendocrine
HCK	5	Neuroendocrine
PCSK5	5	Neuroendocrine
PVR	5	Neuroendocrine
CCDC14	5	Neuroendocrine
TSPAN5	5	Neuroendocrine
CACNA1B	5	Neuroendocrine
SLC22A23	5	Neuroendocrine
CARMIL1	5	Neuroendocrine
PTPRN2	5	Neuroendocrine
LRRC6	5	Neuroendocrine
